Username,link,Type,Status,Script ,Account,Notes,,,reply rate ,%
lauraa_bdl,https://www.instagram.com/lauraa_bdl?igsh=MThwbXNwdnBqZDlxYQ==,small creator ,Talking - Cold,Script 2,alexxisalmc,,,,,
ines_priou,https://www.instagram.com/ines_priou?igsh=bHAwM3Rxa3pycGRr,small creator ,Talking - Cold,Script 2,alexxisalmc,,,,,
romane_rst_2,https://www.instagram.com/romane_rst_2?igsh=YXpmd21zc2pyYzll,small creator ,Talking - Cold,Script 2,alexxisalmc,,,,,
immaelys,https://www.instagram.com/immaelys?igsh=MWs1MmtsMnJzb2Y1YQ==,medium creator ,Sent,Script 2,alexxisalmc,,,,,
juliettte_lgr,https://www.instagram.com/juliettte_lgr?igsh=MWV0MHFnZTQ4cjV1dg==,small creator ,Sent,Script 2,alexxisalmc,,,,,
faustine.lcqss,https://www.instagram.com/faustine.lcqss?igsh=djkwdGg4a3lreXNr,small creator ,Talking - Cold,Script 2,alexxisalmc,,,,,
cha_armd_,https://www.instagram.com/cha_armd_?igsh=MWl3M2ZscWtybjB3eA==,small creator ,Talking - Cold,Script 2,alexxisalmc,,,,,
suzie_vskn,https://www.instagram.com/suzie_vskn?igsh=dHVucTRiOXU4YXYy,small creator ,Talking - Cold,Script 2,alexxisalmc,,,,,
lola_pltks,https://www.instagram.com/lola_pltks?igsh=MTVvZWdra3I3bnplYQ==,small creator ,Talking - Cold,Script 2,alexxisalmc,,,,,
mllouane_,https://www.instagram.com/mllouane_?igsh=bDYyaDY2MTcxbTNr,small creator ,Talking - Cold,Script 2,alexxisalmc,,,,,
09_maya_09,https://www.instagram.com/09_maya_09?igsh=MTV4and4aWFzbTYwdQ==,small creator ,Sent,Script 2,alexxisalmc,,,,,
jadekhl_,https://www.instagram.com/jadekhl_?igsh=OGF1MXR0dGx4cjNi,small creator ,Sent,Script 2,alexxisalmc,,,,,
elea_clo,https://www.instagram.com/elea_clo?igsh=MXFpNmNqNm42cmN1aw==,small creator ,Talking - Cold,Script 2,alexxisalmc,,,,,
lucie_odr,https://www.instagram.com/lucie_odr?igsh=N3kwcHNyMTJoZnF0,small creator ,Sent,Script 2,alexxisalmc,,,,,
maelle__lmn,https://www.instagram.com/maelle__lmn?igsh=Z3BpYTJlbXl4Y3Rz,small creator ,Talking - Cold,Script 2,alexxisalmc,,,,,
kali_pdv,https://www.instagram.com/kali_pdv?igsh=ODV2MWVhOG1nNnBk,small creator ,Sent,Script 2,alexxisalmc,,,,,
elisabeth.dbrr,https://www.instagram.com/elisabeth.dbrr?igsh=MXgyNnkzaTVpMGxldQ==,small creator ,Sent,Script 2,alexxisalmc,,,,,
marie._.lct,https://www.instagram.com/marie._.lct?igsh=cnFzajZ0dmJ2ZDd1,small creator ,Talking - Cold,Script 2,alexxisalmc,,,,,
alishia._.harrington,https://www.instagram.com/alishia._.harrington?igsh=MXJmaXM4NW1kZmwxdw==,small creator ,Sent,Script 2,alexxisalmc,,,,,
clara__drtt,https://www.instagram.com/clara__drtt?igsh=MWl6NHAwYml4MjN3ZA==,small creator ,Sent,Script 2,alexxisalmc,,,,,
manuela__rta,https://www.instagram.com/manuela__rta?igsh=Njg0amdzdjIwMG1x,small creator ,Sent,Script 2,alexxisalmc,,,,,
tiphaineforet,https://www.instagram.com/tiphaineforet?igsh=MWwweGN4dDQzMXNxbw==,small creator ,Sent,Script 2,alexxisalmc,,,,,
juliette.lnds,https://www.instagram.com/juliette.lnds?igsh=cng3dWV4eHJ1a2Rw,small creator ,Sent,Script 2,alexxisalmc,,,,,
maelangtr,https://www.instagram.com/maelangtr?igsh=eWd6ZmZsMHQzNmhj,small creator ,Sent,Script 2,alexxisalmc,,,,,
agathe.cvl,https://www.instagram.com/agathe.cvl?igsh=MWN0ZWw1dGozdXJmNA==,small creator ,Talking - Cold,Script 2,alexxisalmc,,,,,
rr_o_mm_y_,https://www.instagram.com/rr_o_mm_y_?igsh=MWNsbWk3Y3poZ3BybQ==,small creator ,Sent,Script 2,alexxisalmc,,,,,
enola_mly,https://www.instagram.com/enola_mly?igsh=anV1YWlrOG43ZmJj,small creator ,Talking - Cold,Script 2,alexxisalmc,,,,,
louisebrngr,https://www.instagram.com/louisebrngr?igsh=eXB3OGFibzFiMHM=,small creator ,Sent,Script 2,alexxisalmc,,,,,
l.oannali,https://www.instagram.com/l.oannali?igsh=YXNhcXBxZTBkOWI=,small creator ,Sent,Script 2,alexxisalmc,,,,,
manon.ab2,https://www.instagram.com/manon.ab2?igsh=eGF4eTB4c3BmaDdu,small creator ,Sent,Script 2,alexxisalmc,,,,,
lunapoiraud,https://www.instagram.com/lunapoiraud?igsh=MTViZWRvbWpvd2Ztaw==,small creator ,Sent,Script 2,alexxisalmc,,,,,
_embrza,https://www.instagram.com/_embrza?igsh=enVsYnR2cG1xaHh5,small creator ,Sent,Script 2,alexxisalmc,,,,,
cassie_blh,https://www.instagram.com/cassie_blh?igsh=MXdvbTBrenkxODJuZg==,small creator ,Talking - Cold,Script 2,alexxisalmc,,,,,
oana_tr,https://www.instagram.com/oana_tr?igsh=cmtrcW8xMTduc3l1,small creator ,Talking - warm,Script 2,alexxisalmc,,,,,
camille_ermcr,https://www.instagram.com/camille_ermcr?igsh=MTYzMDZpbGZoZjRxaA==,small creator ,Sent,Script 2,alexxisalmc,,,,,
auroreklt,https://www.instagram.com/auroreklt?igsh=cjFpb2UxcWxzcjMx,small creator ,Sent,Script 2,alexxisalmc,,,,,
marieegvs,https://www.instagram.com/marieegvs?igsh=MXhvdG53endoYzl4dA==,small creator ,Sent,Script 2,alexxisalmc,,,,,
ahilaa._,https://www.instagram.com/ahilaa._?igsh=eWVldjFhem9lOHBw,small creator ,Talking - Cold,Script 2,alexxisalmc,,,,,
chloel578,https://www.instagram.com/chloel578?igsh=MWdtdmk5ZXdqNG9pbQ==,small creator ,Talking - Cold,Script 2,alexxisalmc,,,,,
vanessavieiraxo,https://www.instagram.com/vanessavieiraxo?igsh=aGM0bWp6Zzh4YmU2,small creator ,Talking - Cold,Script 2,alexxisalmc,,,,,
capri.s4,https://www.instagram.com/capri.s4?igsh=YXo4ZjQ1eDVwajh1,small creator ,Talking - Cold,Script 2,alexxisalmc,,,,,
aur._.drd,https://www.instagram.com/aur._.drd?igsh=MTlndnUzeG02a2thcw==,small creator ,Sent,Script 2,alexxisalmc,,,,,
roxanedlr,https://www.instagram.com/roxanedlr?igsh=MWlmZ2pxaDl3dGtyOA==,small creator ,Sent,Script 2,alexxisalmc,,,,,
anouk.rr,https://www.instagram.com/anouk.rr?igsh=ZXZicGxma3pwMWVl,small creator ,Sent,Script 2,alexxisalmc,,,,,
oceanebdtt,https://www.instagram.com/oceanebdtt?igsh=MTViczZ6anRoNnRrbw==,small creator ,Sent,Script 2,alexxisalmc,,,,,
justine_ldr,https://www.instagram.com/justine_ldr?igsh=MTVqcGFjYzNndXhnYg==,small creator ,Talking - Cold,Script 2,alexxisalmc,,,,,
_lilou.cn_,https://www.instagram.com/_lilou.cn_?igsh=am0xZG9hNmFsZjJ4,small creator ,Sent,Script 2,alexxisalmc,,,,,
kelly.dbt,https://www.instagram.com/kelly.dbt?igsh=Z3FneTduODgydHpn,small creator ,Sent,Script 2,alexxisalmc,,,,,
mae._hr,https://www.instagram.com/mae._hr?igsh=ejY1ZDhqdWJoeXc0,small creator ,Sent,Script 2,alexxisalmc,,,,,
victxriaa_m,https://www.instagram.com/victxriaa_m?igsh=eXJrOThxOGdiMGc=,small creator ,Sent,Script 2,alexxisalmc,,,,,
mrl_cllj,https://www.instagram.com/mrl_cllj?igsh=NDk5bnh3b2JrdWdo,small creator ,Talking - Cold,Script 2,alexxisalmc,,,,,
eloise.odin,https://www.instagram.com/eloise.odin?igsh=anVyeG1veDhwbXA2,small creator ,Talking - Cold,Script 2,alexxisalmc,,,,,
juste_elise83,https://www.instagram.com/juste_elise83?igsh=dG1pdGx0cXowMDg3,small creator ,Sent,Script 2,alexxisalmc,,,,,
runaokami,https://www.instagram.com/runaokami?igsh=MTZnZTF1MXp5eWE1cw==,small creator ,Sent,Script 2,alexxisalmc,,,,,
silvalynndaa,https://www.instagram.com/silvalynndaa?igsh=M2lpY2Jzc2d5eWFo,small creator ,Talking - Cold,Script 2,alexxisalmc,,,,,
lucievtr,https://www.instagram.com/lucievtr?igsh=MW9yeTl0N2k1aWFibQ==,small creator ,Talking - Cold,Script 2,alexxisalmc,,,,,
athenais_rncg,https://www.instagram.com/athenais_rncg?igsh=aWc5bmVhbTlsYnpp,small creator ,Sent,Script 2,alexxisalmc,,,,,
ev.aclt,https://www.instagram.com/ev.aclt?igsh=YTF6a3RqOWZzNGs4,small creator ,Talking - Cold,Script 2,alexxisalmc,,,,,
em1l1ejolie,https://www.instagram.com/em1l1ejolie?igsh=MWwxbHZncGdoYmlmeA==,small creator ,Talking - Cold,Script 2,alexxisalmc,,,,,
